,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
3,Angola,2019,603.95,956.72,1062.22,1058.65,1101.01,1239.13,739.63,1268.49,495.13,734.34,305.21,418.04,172.51,282.1,206.79,406.53,181.88,299.64,194.39,273.48
36,Bangladesh,2017,136.88,109.39,140.12,129.82,104.98,126.71,93.59,86.75,70.83,76.36,48.21,48.29,46.09,41.35,41.01,45.37,47.23,48.79,33.78,39.44
44,Belize,2017,7.0,5.0,5.0,5.0,11.0,11.0,12.0,16.0,9.0,11.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,7.0,15.0,6.0
47,Belize,2020,4.77,5.91,17.54,17.54,14.19,14.12,10.73,11.63,7.08,6.58,5.19,5.88,4.95,4.38,7.5,7.27,4.35,6.23,4.98,4.62
48,Belize,2021,7.69,4.5,14.62,13.15,12.34,11.83,7.69,9.35,6.63,6.32,4.0,4.7,4.85,3.92,5.77,6.06,3.12,5.23,4.5,4.23
53,Bhutan,2022,104.51,114.65,162.91,139.74,154.59,168.31,129.28,104.37,95.91,97.75,60.77,80.2,44.41,71.75,78.54,87.64,74.7,76.16,50.69,69.81
60,Bosnia and Herzegovina,2011,0.0,5.03,5.87,7.12,7.02,7.54,4.08,5.48,9.0,5.62,2.99,4.0,2.3,3.45,2.34,3.92,2.84,3.78,2.63,4.24
66,Bosnia and Herzegovina,2020,11.1,8.03,10.44,11.1,10.61,9.71,8.2,8.79,8.24,7.98,4.93,7.31,5.57,7.19,6.35,11.88,4.61,8.74,5.11,6.56
67,Bosnia and Herzegovina,2021,7.58,9.16,9.39,10.36,10.13,10.1,8.13,8.32,9.03,8.12,4.85,6.88,6.25,7.38,4.59,7.42,4.95,7.37,5.17,6.02
68,Bosnia and Herzegovina,2022,9.77,9.64,8.98,11.19,10.45,10.6,8.69,8.96,8.41,8.29,5.35,7.11,7.49,7.22,4.98,7.77,5.53,8.08,5.81,6.65
