"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-17","2014",23.579,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): '5-11","2014",23.488,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 12-14","2014",31.959,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2014",13.023,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-17","2014",25.976,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): '5-11","2014",25.698,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 12-14","2014",30.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2014",20.656,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-17","2014",20.908,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): '5-11","2014",21.044,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 12-14","2014",33.572,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2014",4.902,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2016",4.217,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2016",4.294,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Female","Age (Child labour bands): 15-17","2016",4.142,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","CLS - National Child Labour Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Total","Age (Child labour bands): 15-17","2010",1.464,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","CLS - National Child Labour Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores","Sex: Male","Age (Child labour bands): 15-17","2010",2.319,,,"Repository: ILO-STATISTICS - Micro data processing"
