Country,Sex,Value,Time
Aruba, Male,17.4,2010
Aruba, Female,15.64,2010
Afghanistan, Male,19.632,2021
Afghanistan, Female,65.079,2021
Afghanistan, Male,32.164,2020
Afghanistan, Female,74.011,2020
Afghanistan, Male,18.638,2017
Afghanistan, Female,67.177,2017
Afghanistan, Male,12.753,2014
Afghanistan, Female,57.873,2014
Angola, Male,23.501,2022
Angola, Female,26.07,2022
Angola, Male,20.768,2021
Angola, Female,22.569,2021
Angola, Male,19.64,2019
Angola, Female,26.341,2019
Angola, Male,24.533,2014
Angola, Female,36.192,2014
Angola, Male,7.613,2011
Angola, Female,12.23,2011
Angola, Male,20.263,2009
Angola, Female,30.846,2009
Angola, Male,22.371,2004
Angola, Female,38.344,2004
Albania, Male,22.275,2023
Albania, Female,24.048,2023
Albania, Male,21.727,2022
Albania, Female,25.656,2022
Albania, Male,22.19,2021
Albania, Female,25.96,2021
Albania, Male,27.414,2020
Albania, Female,26.47,2020
Albania, Male,26.196,2019
Albania, Female,25.454,2019
Albania, Male,25.531,2018
Albania, Female,27.772,2018
Albania, Male,25.084,2017
Albania, Female,27.608,2017
Albania, Male,27.192,2016
Albania, Female,27.622,2016
Albania, Male,28.485,2015
Albania, Female,31.283,2015
Albania, Male,30.168,2014
Albania, Female,32.646,2014
Albania, Male,29.819,2013
Albania, Female,32.041,2013
Albania, Male,25.96,2012
Albania, Female,29.688,2012
Albania, Male,27.652,2011
Albania, Female,32.518,2011
Albania, Male,25.838,2010
Albania, Female,33.711,2010
Albania, Male,25.127,2009
Albania, Female,35.756,2009
Albania, Male,25.39,2008
Albania, Female,30.84,2008
Albania, Male,30.843,2007
Albania, Female,36.743,2007
Albania, Male,34.139,2005
Albania, Female,36.243,2005
Albania, Male,44.487,2002
Albania, Female,39.124,2002
Netherlands Antilles, Male,4.58,2011
Netherlands Antilles, Female,4.95,2011
Netherlands Antilles, Male,3.98,2009
Netherlands Antilles, Female,4.71,2009
United Arab Emirates, Male,5.95,2023
United Arab Emirates, Female,14.891,2023
United Arab Emirates, Male,5.579,2022
United Arab Emirates, Female,17.622,2022
United Arab Emirates, Male,6.403,2021
United Arab Emirates, Female,17.681,2021
Argentina, Male,13.397,2023
Argentina, Female,16.734,2023
Argentina, Male,13.994,2022
