Country,Time, Female, Male
APEC,2005,21.871,13.597
APEC,2006,21.664,13.297
APEC,2007,21.262,13.01
APEC,2008,21.114,12.969
APEC,2009,21.208,13.386
APEC,2010,20.622,13.072
APEC,2011,20.091,12.631
APEC,2012,19.505,12.089
APEC,2013,19.104,11.984
APEC,2014,18.366,11.526
APEC,2015,17.933,11.454
APEC,2016,17.667,11.132
APEC,2017,17.078,10.726
APEC,2018,16.383,10.354
APEC,2019,15.917,10.417
APEC,2020,17.377,12.59
APEC,2021,15.892,11.584
APEC,2022,15.299,11.063
APEC,2023,15.219,11.112
APEC,2024,15.231,11.13
APEC,2025,15.275,11.189
APEC,2026,15.325,11.241
ASEAN,2005,28.656,16.276
ASEAN,2006,28.171,15.751
ASEAN,2007,27.981,15.544
ASEAN,2008,27.386,14.814
ASEAN,2009,27.333,14.755
ASEAN,2010,26.399,14.325
ASEAN,2011,26.027,13.924
ASEAN,2012,25.455,13.095
ASEAN,2013,25.366,13.558
ASEAN,2014,24.612,13.328
ASEAN,2015,24.409,13.969
ASEAN,2016,24.38,13.553
ASEAN,2017,23.754,13.253
ASEAN,2018,22.703,12.91
ASEAN,2019,22.08,12.976
ASEAN,2020,22.78,14.985
ASEAN,2021,21.551,15.122
ASEAN,2022,20.135,13.327
ASEAN,2023,19.742,12.904
ASEAN,2024,19.795,12.918
ASEAN,2025,19.855,12.935
ASEAN,2026,19.92,12.955
Afghanistan,2014,57.873,12.753
Afghanistan,2017,67.177,18.638
Afghanistan,2020,74.011,32.164
Afghanistan,2021,65.079,19.632
Africa,2005,30.346,15.996
Africa,2006,30.156,15.667
Africa,2007,29.809,15.458
Africa,2008,29.654,15.309
Africa,2009,29.425,15.242
Africa,2010,29.813,15.325
Africa,2011,29.234,15.521
Africa,2012,29.027,15.536
Africa,2013,28.714,15.336
Africa,2014,28.853,15.717
Africa,2015,28.987,16.204
Africa,2016,29.431,16.647
Africa,2017,29.579,16.983
Africa,2018,29.898,17.163
Africa,2019,30.5,17.39
Africa,2020,31.592,18.128
Africa,2021,30.542,17.57
Africa,2022,29.95,17.216
Africa,2023,29.649,17.166
Africa,2024,29.58,17.119
Africa,2025,29.515,17.07
Africa,2026,29.466,17.033
Africa: Low income,2005,27.396,15.013
Africa: Low income,2006,27.409,14.969
Africa: Low income,2007,27.405,14.907
Africa: Low income,2008,27.407,14.858
Africa: Low income,2009,27.243,14.623
Africa: Low income,2010,27.041,14.625
Africa: Low income,2011,26.719,14.447
Africa: Low income,2012,27.122,14.668
Africa: Low income,2013,27.248,14.753
Africa: Low income,2014,28.246,15.483
Africa: Low income,2015,28.945,16.022
Africa: Low income,2016,30.263,17.144
Africa: Low income,2017,30.936,17.745
Africa: Low income,2018,31.492,18.288
Africa: Low income,2019,32.087,18.878
Africa: Low income,2020,33.372,19.841
Africa: Low income,2021,32.605,19.651
Africa: Low income,2022,32.256,19.372
Africa: Low income,2023,32.2,19.446
Africa: Low income,2024,32.117,19.399
Africa: Low income,2025,32.049,19.35
Africa: Low income,2026,32.004,19.316
Africa: Lower-middle income,2005,31.046,14.913
Africa: Lower-middle income,2006,30.85,14.516
Africa: Lower-middle income,2007,30.385,14.281
Africa: Lower-middle income,2008,30.208,14.065
Africa: Lower-middle income,2009,30.018,14.067
Africa: Lower-middle income,2010,30.893,14.138
Africa: Lower-middle income,2011,30.288,14.799
Africa: Lower-middle income,2012,29.713,14.718
Africa: Lower-middle income,2013,29.134,14.309
Africa: Lower-middle income,2014,28.742,14.54
Africa: Lower-middle income,2015,28.534,15.131
Africa: Lower-middle income,2016,28.271,15.082
Africa: Lower-middle income,2017,28.046,15.323
Africa: Lower-middle income,2018,28.195,15.187
Africa: Lower-middle income,2019,28.857,15.035
